Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD6759,Ahmedabad,Gujarat University,4th,Environmental Science,Mass-Mailing
LD6760,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Electric Vehicles,College Collaboration
LD6761,Mumbai,St. Xavier's College,2nd,Artificial Intelligence,LinkedIn
LD6762,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Cybersecurity,Google Form
LD6763,Ahmedabad,Gujarat University,3rd,Business Administration,LinkedIn
LD6764,Indore,Devi Ahilya Vishwavidyalaya,3rd,Data Science,Google Form
LD6765,Ahmedabad,Nirma University,3rd,Environmental Science,Google Form
LD6766,Hyderabad,Indian School of Business (ISB),3rd,Environmental Science,Google Form
LD6767,Ahmedabad,Nirma University,2nd,Cybersecurity,College Collaboration
LD6768,Delhi,Jawaharlal Nehru University (JNU),2nd,Robotics,College Collaboration
LD6769,Delhi,Jawaharlal Nehru University (JNU),3rd,Data Science,LinkedIn
LD6770,Ahmedabad,Gujarat University,4th,Data Science,Instagram
LD6771,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,LinkedIn
LD6772,Delhi,Lady Shri Ram College for Women,2nd,Robotics,Mass-Mailing
LD6773,Hyderabad,Indian School of Business (ISB),2nd,Biotechnology,LinkedIn
LD6774,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,Instagram
LD6775,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Robotics,Mass-Mailing
LD6776,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Business Administration,College Collaboration
LD6777,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Artificial Intelligence,Instagram
LD6778,Chennai,Loyola College,2nd,Cybersecurity,LinkedIn
LD6779,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Cybersecurity,Google Form
LD6780,Pune,Bharati Vidyapeeth Deemed University,1st,Business Administration,LinkedIn
LD6781,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Cybersecurity,College Collaboration
LD6782,Indore,Indian Institute of Management Indore (IIM-I),2nd,Robotics,College Collaboration
LD6783,Bengaluru,Christ University,3rd,Robotics,Instagram
LD6784,Bengaluru,Indian Institute of Science (IISc),4th,Biotechnology,Mass-Mailing
LD6785,Chennai,SRM Institute of Science and Technology,4th,Cybersecurity,Google Form
LD6786,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Artificial Intelligence,College Collaboration
LD6787,Indore,Devi Ahilya Vishwavidyalaya,2nd,Artificial Intelligence,College Collaboration
LD6788,Bengaluru,Bangalore Institute of Technology,3rd,Environmental Science,Instagram
LD6789,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Environmental Science,College Collaboration
LD6790,Bengaluru,PES University,3rd,Electric Vehicles,Instagram
LD6791,Bengaluru,National Institute of Fashion Technology (NIFT),1st,Business Administration,Mass-Mailing
LD6792,Kolkata,Indian Statistical Institute,3rd,Environmental Science,Instagram
LD6793,Ahmedabad,Nirma University,4th,Biotechnology,LinkedIn
LD6794,Chennai,SRM Institute of Science and Technology,3rd,Artificial Intelligence,LinkedIn
LD6795,Bengaluru,RV College of Engineering,2nd,Environmental Science,Whatsapp
LD6796,Delhi,Jawaharlal Nehru University (JNU),2nd,Robotics,Google Form
LD6797,Ahmedabad,Nirma University,3rd,Business Administration,LinkedIn
LD6798,Bengaluru,PES University,2nd,Biotechnology,Mass-Mailing
LD6799,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Data Science,LinkedIn
LD6800,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,Instagram
LD6801,Delhi,Jawaharlal Nehru University (JNU),3rd,Data Science,LinkedIn
LD6802,Delhi,Jawaharlal Nehru University (JNU),2nd,Robotics,LinkedIn
LD6803,Chennai,Loyola College,2nd,Robotics,LinkedIn
LD6804,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Environmental Science,College Collaboration
LD6805,Mumbai,University of Mumbai,1st,Environmental Science,Instagram
LD6806,Hyderabad,Indian School of Business (ISB),2nd,Artificial Intelligence,College Collaboration
LD6807,Kolkata,Indian Statistical Institute,4th,Cybersecurity,Instagram
LD6808,Ahmedabad,Nirma University,3rd,Environmental Science,Instagram
LD6809,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Artificial Intelligence,College Collaboration
LD6810,Indore,Indian Institute of Management Indore (IIM-I),2nd,Robotics,Google Form
LD6811,Bengaluru,RV College of Engineering,1st,Business Administration,Instagram
LD6812,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Environmental Science,LinkedIn
LD6813,Mumbai,University of Mumbai,2nd,Business Administration,LinkedIn
LD6814,Kolkata,Jadavpur University,4th,Business Administration,College Collaboration
LD6815,Hyderabad,Osmania University,4th,Cybersecurity,Instagram
LD6816,Jaipur,Rajasthan Technical University,3rd,Cybersecurity,LinkedIn
LD6817,Ahmedabad,Nirma University,4th,Artificial Intelligence,Google Form
LD6818,Bengaluru,Indian Institute of Science (IISc),2nd,Data Science,Instagram
LD6819,Chennai,Madras Christian College,2nd,Electric Vehicles,College Collaboration
LD6820,Indore,Devi Ahilya Vishwavidyalaya,2nd,Environmental Science,College Collaboration
LD6821,Kolkata,Jadavpur University,4th,Artificial Intelligence,LinkedIn
LD6822,Delhi,Guru Gobind Singh Indraprastha University,2nd,Artificial Intelligence,LinkedIn
LD6823,Delhi,University of Delhi,2nd,Artificial Intelligence,College Collaboration
LD6824,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Environmental Science,Whatsapp
LD6825,Chennai,Loyola College,4th,Cybersecurity,College Collaboration
LD6826,Pune,Bharati Vidyapeeth Deemed University,2nd,Cybersecurity,Mass-Mailing
LD6827,Jaipur,Rajasthan Technical University,3rd,Environmental Science,College Collaboration
LD6828,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Biotechnology,Instagram
LD6829,Bengaluru,PES University,2nd,Data Science,Instagram
LD6830,Chennai,Anna University,2nd,Environmental Science,LinkedIn
LD6831,Delhi,Jawaharlal Nehru University (JNU),2nd,Environmental Science,Instagram
LD6832,Mumbai,University of Mumbai,2nd,Environmental Science,Mass-Mailing
LD6833,Kolkata,University of Calcutta,3rd,Business Administration,Instagram
LD6834,Ahmedabad,Nirma University,2nd,Biotechnology,Instagram
LD6835,Pune,Bharati Vidyapeeth Deemed University,2nd,Artificial Intelligence,College Collaboration
LD6836,Indore,Indian Institute of Management Indore (IIM-I),3rd,Environmental Science,Google Form
LD6837,Pune,University of Pune (Savitribai Phule Pune University),4th,Environmental Science,LinkedIn
LD6838,Mumbai,K. J. Somaiya College of Engineering,3rd,Business Administration,Instagram
LD6839,Kolkata,Indian Statistical Institute,4th,Business Administration,LinkedIn
LD6840,Mumbai,Indian Institute of Technology Bombay (IIT-B),1st,Data Science,Mass-Mailing
LD6841,Ahmedabad,Gujarat University,2nd,Environmental Science,Google Form
LD6842,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,Google Form
LD6843,Indore,Indian Institute of Management Indore (IIM-I),1st,Data Science,Instagram
LD6844,Chennai,Anna University,4th,Data Science,Mass-Mailing
LD6845,Delhi,Jawaharlal Nehru University (JNU),2nd,Environmental Science,LinkedIn
LD6846,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Business Administration,LinkedIn
LD6847,Mumbai,Indian Institute of Technology Bombay (IIT-B),1st,Biotechnology,LinkedIn
LD6848,Mumbai,Sardar Patel Institute of Technology,2nd,Cybersecurity,Google Form
LD6849,Bengaluru,Christ University,3rd,Data Science,College Collaboration
LD6850,Bengaluru,Christ University,3rd,Robotics,Google Form
LD6851,Jaipur,Rajasthan Technical University,4th,Biotechnology,Google Form
LD6852,Delhi,Guru Gobind Singh Indraprastha University,3rd,Business Administration,College Collaboration
LD6853,Bengaluru,RV College of Engineering,2nd,Robotics,LinkedIn
LD6854,Bengaluru,Christ University,2nd,Environmental Science,Instagram
LD6855,Indore,Devi Ahilya Vishwavidyalaya,3rd,Electric Vehicles,Instagram
LD6856,Ahmedabad,Nirma University,2nd,Cybersecurity,LinkedIn
LD6857,Delhi,Lady Shri Ram College for Women,2nd,Artificial Intelligence,LinkedIn
LD6858,Chennai,Anna University,2nd,Business Administration,LinkedIn
LD6859,Chennai,Vellore Institute of Technology (VIT),3rd,Biotechnology,College Collaboration
LD6860,Delhi,Jamia Millia Islamia,4th,Artificial Intelligence,Mass-Mailing
LD6861,Ahmedabad,Gujarat University,1st,Robotics,LinkedIn
LD6862,Mumbai,University of Mumbai,3rd,Cybersecurity,LinkedIn
LD6863,Kolkata,Jadavpur University,4th,Artificial Intelligence,LinkedIn
LD6864,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,Google Form
LD6865,Chennai,Anna University,3rd,Business Administration,College Collaboration
LD6866,Bengaluru,RV College of Engineering,2nd,Environmental Science,Google Form
LD6867,Mumbai,St. Xavier's College,3rd,Business Administration,Google Form
LD6868,Delhi,Lady Shri Ram College for Women,2nd,Environmental Science,College Collaboration
LD6869,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Data Science,College Collaboration
LD6870,Kolkata,Presidency University,3rd,Robotics,LinkedIn
LD6871,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,LinkedIn
LD6872,Ahmedabad,Gujarat University,2nd,Business Administration,Instagram
LD6873,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Artificial Intelligence,College Collaboration
LD6874,Bengaluru,RV College of Engineering,4th,Data Science,College Collaboration
LD6875,Kolkata,Indian Statistical Institute,1st,Data Science,Instagram
LD6876,Mumbai,K. J. Somaiya College of Engineering,2nd,Environmental Science,LinkedIn
LD6877,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Electric Vehicles,College Collaboration
LD6878,Mumbai,Sardar Patel Institute of Technology,4th,Electric Vehicles,Instagram
LD6879,Chennai,Anna University,1st,Biotechnology,Instagram
LD6880,Mumbai,Indian Institute of Technology Bombay (IIT-B),1st,Cybersecurity,Instagram
LD6881,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,College Collaboration
LD6882,Delhi,Delhi Technological University (DTU),3rd,Cybersecurity,LinkedIn
LD6883,Bengaluru,Bangalore Institute of Technology,4th,Environmental Science,College Collaboration
LD6884,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Data Science,Mass-Mailing
LD6885,Ahmedabad,Nirma University,3rd,Robotics,LinkedIn
LD6886,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Cybersecurity,College Collaboration
LD6887,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,College Collaboration
LD6888,Ahmedabad,Gujarat University,4th,Cybersecurity,College Collaboration
LD6889,Chennai,Loyola College,4th,Electric Vehicles,Instagram
LD6890,Chennai,Loyola College,2nd,Environmental Science,College Collaboration
LD6891,Chennai,SRM Institute of Science and Technology,4th,Robotics,Mass-Mailing
LD6892,Mumbai,K. J. Somaiya College of Engineering,1st,Environmental Science,LinkedIn
LD6893,Mumbai,Mithibai College,4th,Electric Vehicles,College Collaboration
LD6894,Chennai,Loyola College,4th,Environmental Science,Mass-Mailing
LD6895,Indore,Indian Institute of Management Indore (IIM-I),3rd,Biotechnology,LinkedIn
LD6896,Delhi,Lady Shri Ram College for Women,2nd,Environmental Science,LinkedIn
LD6897,Chennai,Anna University,3rd,Artificial Intelligence,Instagram
LD6898,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Business Administration,Mass-Mailing
LD6899,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Cybersecurity,College Collaboration
LD6900,Pune,MIT World Peace University,2nd,Business Administration,Instagram
LD6901,Bengaluru,Indian Institute of Science (IISc),1st,Biotechnology,LinkedIn
LD6902,Mumbai,K. J. Somaiya College of Engineering,2nd,Artificial Intelligence,Whatsapp
LD6903,Chennai,SRM Institute of Science and Technology,3rd,Data Science,Google Form
LD6904,Delhi,Guru Gobind Singh Indraprastha University,2nd,Environmental Science,LinkedIn
LD6905,Ahmedabad,Nirma University,2nd,Data Science,Google Form
LD6906,Bengaluru,Indian Institute of Management Bangalore (IIM-B),4th,Environmental Science,Whatsapp
LD6907,Ahmedabad,Nirma University,2nd,Biotechnology,Google Form
LD6908,Mumbai,Sardar Patel Institute of Technology,2nd,Environmental Science,College Collaboration
LD6909,Indore,Indian Institute of Management Indore (IIM-I),1st,Environmental Science,College Collaboration
LD6910,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Artificial Intelligence,Google Form
LD6911,Bengaluru,Indian Institute of Management Bangalore (IIM-B),3rd,Data Science,LinkedIn
LD6912,Ahmedabad,Nirma University,3rd,Artificial Intelligence,Instagram
LD6913,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Cybersecurity,Instagram
LD6914,Bengaluru,RV College of Engineering,3rd,Data Science,LinkedIn
LD6915,Jaipur,Rajasthan Technical University,2nd,Artificial Intelligence,Google Form
LD6916,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,College Collaboration
LD6917,Delhi,Lady Shri Ram College for Women,3rd,Business Administration,LinkedIn
LD6918,Mumbai,Mithibai College,2nd,Environmental Science,LinkedIn
LD6919,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,LinkedIn
LD6920,Chennai,Vellore Institute of Technology (VIT),4th,Environmental Science,Google Form
LD6921,Delhi,Jamia Millia Islamia,3rd,Environmental Science,LinkedIn
LD6922,Ahmedabad,Gujarat University,2nd,Data Science,College Collaboration
LD6923,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Business Administration,LinkedIn
LD6924,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Robotics,Instagram
LD6925,Bengaluru,Christ University,2nd,Cybersecurity,LinkedIn
LD6926,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Business Administration,College Collaboration
LD6927,Bengaluru,PES University,2nd,Artificial Intelligence,College Collaboration
LD6928,Chennai,Madras Christian College,4th,Electric Vehicles,Google Form
LD6929,Indore,Indian Institute of Management Indore (IIM-I),3rd,Data Science,LinkedIn
LD6930,Chennai,Vellore Institute of Technology (VIT),2nd,Data Science,Instagram
LD6931,Jaipur,Rajasthan Technical University,2nd,Environmental Science,LinkedIn
LD6932,Indore,Devi Ahilya Vishwavidyalaya,1st,Electric Vehicles,LinkedIn
LD6933,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Biotechnology,LinkedIn
LD6934,Bengaluru,Indian Institute of Science (IISc),3rd,Environmental Science,LinkedIn
LD6935,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Environmental Science,Google Form
LD6936,Ahmedabad,Gujarat University,4th,Robotics,Instagram
LD6937,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Cybersecurity,Whatsapp
LD6938,Mumbai,K. J. Somaiya College of Engineering,2nd,Data Science,LinkedIn
LD6939,Bengaluru,Indian Institute of Science (IISc),3rd,Artificial Intelligence,Instagram
LD6940,Bengaluru,Indian Institute of Management Bangalore (IIM-B),4th,Data Science,LinkedIn
LD6941,Mumbai,K. J. Somaiya College of Engineering,3rd,Business Administration,Google Form
LD6942,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Cybersecurity,Mass-Mailing
LD6943,Indore,Devi Ahilya Vishwavidyalaya,3rd,Data Science,College Collaboration
LD6944,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,Google Form
LD6945,Delhi,Guru Gobind Singh Indraprastha University,2nd,Cybersecurity,College Collaboration
LD6946,Mumbai,Sardar Patel Institute of Technology,4th,Electric Vehicles,College Collaboration
LD6947,Ahmedabad,Nirma University,2nd,Environmental Science,LinkedIn
LD6948,Chennai,Anna University,3rd,Data Science,LinkedIn
LD6949,Kolkata,Indian Statistical Institute,3rd,Environmental Science,LinkedIn
LD6950,Pune,Symbiosis International University,4th,Environmental Science,Google Form
LD6951,Chennai,Madras Christian College,3rd,Data Science,Instagram
LD6952,Mumbai,Indian Institute of Technology Bombay (IIT-B),3rd,Cybersecurity,Whatsapp
LD6953,Jaipur,Rajasthan Technical University,1st,Cybersecurity,College Collaboration
LD6954,Chennai,SRM Institute of Science and Technology,1st,Artificial Intelligence,Google Form
LD6955,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,Instagram
LD6956,Mumbai,K. J. Somaiya College of Engineering,2nd,Data Science,LinkedIn
LD6957,Chennai,Anna University,2nd,Environmental Science,Google Form
LD6958,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Data Science,College Collaboration
LD6959,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,Instagram
LD6960,Ahmedabad,Nirma University,2nd,Electric Vehicles,Instagram
LD6961,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Business Administration,Google Form
LD6962,Ahmedabad,Gujarat University,2nd,Electric Vehicles,Google Form
LD6963,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Environmental Science,Whatsapp
LD6964,Jaipur,Malaviya National Institute of Technology (MNIT),1st,Cybersecurity,College Collaboration
LD6965,Mumbai,K. J. Somaiya College of Engineering,4th,Environmental Science,LinkedIn
LD6966,Mumbai,Mithibai College,4th,Artificial Intelligence,Google Form
LD6967,Chennai,SRM Institute of Science and Technology,4th,Environmental Science,Instagram
LD6968,Ahmedabad,Gujarat University,2nd,Environmental Science,Google Form
LD6969,Pune,Bharati Vidyapeeth Deemed University,2nd,Electric Vehicles,College Collaboration
LD6970,Kolkata,Presidency University,2nd,Business Administration,Mass-Mailing
LD6971,Kolkata,Indian Statistical Institute,1st,Data Science,College Collaboration
LD6972,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Artificial Intelligence,LinkedIn
LD6973,Bengaluru,Indian Institute of Science (IISc),3rd,Data Science,Google Form
LD6974,Hyderabad,Osmania University,3rd,Biotechnology,College Collaboration
LD6975,Bengaluru,RV College of Engineering,3rd,Cybersecurity,Instagram
LD6976,Mumbai,Sardar Patel Institute of Technology,4th,Artificial Intelligence,College Collaboration
LD6977,Ahmedabad,Nirma University,4th,Artificial Intelligence,Google Form
LD6978,Ahmedabad,Nirma University,3rd,Artificial Intelligence,College Collaboration
LD6979,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Artificial Intelligence,Whatsapp
LD6980,Bengaluru,Christ University,4th,Artificial Intelligence,LinkedIn
LD6981,Hyderabad,Indian School of Business (ISB),4th,Business Administration,College Collaboration
LD6982,Ahmedabad,Nirma University,2nd,Environmental Science,Mass-Mailing
LD6983,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Business Administration,LinkedIn
LD6984,Chennai,Madras Christian College,4th,Artificial Intelligence,College Collaboration
LD6985,Kolkata,Jadavpur University,4th,Environmental Science,College Collaboration
LD6986,Delhi,Jamia Millia Islamia,2nd,Robotics,College Collaboration
LD6987,Ahmedabad,Nirma University,2nd,Environmental Science,LinkedIn
LD6988,Indore,Indian Institute of Management Indore (IIM-I),3rd,Electric Vehicles,LinkedIn
LD6989,Hyderabad,Indian School of Business (ISB),4th,Biotechnology,LinkedIn
LD6990,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Cybersecurity,College Collaboration
LD6991,Ahmedabad,Nirma University,3rd,Cybersecurity,Mass-Mailing
LD6992,Mumbai,University of Mumbai,3rd,Business Administration,Google Form
LD6993,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,College Collaboration
LD6994,Ahmedabad,Gujarat University,4th,Data Science,LinkedIn
LD6995,Jaipur,Rajasthan Technical University,4th,Environmental Science,LinkedIn
LD6996,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Environmental Science,Mass-Mailing
LD6997,Ahmedabad,Gujarat University,3rd,Environmental Science,Whatsapp
LD6998,Delhi,Jamia Millia Islamia,2nd,Biotechnology,Google Form
LD6999,Bengaluru,PES University,3rd,Artificial Intelligence,Whatsapp
LD7000,Indore,Indian Institute of Management Indore (IIM-I),2nd,Artificial Intelligence,Google Form
LD7001,Delhi,University of Delhi,3rd,Environmental Science,Instagram
LD7002,Indore,Devi Ahilya Vishwavidyalaya,3rd,Environmental Science,College Collaboration
LD7003,Ahmedabad,Nirma University,2nd,Artificial Intelligence,Mass-Mailing
LD7004,Bengaluru,Bangalore Institute of Technology,4th,Environmental Science,College Collaboration
LD7005,Bengaluru,Indian Institute of Science (IISc),4th,Biotechnology,Mass-Mailing
LD7006,Pune,Symbiosis International University,2nd,Data Science,LinkedIn
LD7007,Delhi,Delhi Technological University (DTU),4th,Robotics,Whatsapp
LD7008,Chennai,SRM Institute of Science and Technology,4th,Environmental Science,College Collaboration
LD7009,Pune,MIT World Peace University,4th,Environmental Science,LinkedIn
LD7010,Ahmedabad,Gujarat University,3rd,Electric Vehicles,LinkedIn
LD7011,Mumbai,K. J. Somaiya College of Engineering,3rd,Cybersecurity,College Collaboration
LD7012,Indore,Devi Ahilya Vishwavidyalaya,1st,Artificial Intelligence,Instagram
LD7013,Ahmedabad,Nirma University,3rd,Data Science,Google Form
LD7014,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Business Administration,Instagram
LD7015,Ahmedabad,Gujarat University,2nd,Business Administration,Mass-Mailing
LD7016,Chennai,Loyola College,2nd,Robotics,Google Form
LD7017,Mumbai,St. Xavier's College,2nd,Biotechnology,Instagram
LD7018,Ahmedabad,Nirma University,2nd,Environmental Science,College Collaboration
LD7019,Kolkata,Presidency University,4th,Business Administration,Instagram
LD7020,Kolkata,Indian Statistical Institute,2nd,Artificial Intelligence,Mass-Mailing
LD7021,Kolkata,University of Calcutta,2nd,Artificial Intelligence,Whatsapp
LD7022,Ahmedabad,Nirma University,2nd,Business Administration,Google Form
LD7023,Chennai,Madras Christian College,2nd,Biotechnology,Mass-Mailing
LD7024,Bengaluru,PES University,2nd,Cybersecurity,LinkedIn
LD7025,Bengaluru,RV College of Engineering,2nd,Data Science,LinkedIn
LD7026,Hyderabad,University of Hyderabad,2nd,Cybersecurity,College Collaboration
LD7027,Jaipur,Rajasthan Technical University,3rd,Environmental Science,Whatsapp
LD7028,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Electric Vehicles,Mass-Mailing
LD7029,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,LinkedIn
LD7030,Ahmedabad,Nirma University,3rd,Artificial Intelligence,College Collaboration
LD7031,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,College Collaboration
LD7032,Bengaluru,Indian Institute of Management Bangalore (IIM-B),1st,Environmental Science,Instagram
LD7033,Ahmedabad,Gujarat University,2nd,Business Administration,Google Form
LD7034,Delhi,Jawaharlal Nehru University (JNU),4th,Artificial Intelligence,Mass-Mailing
LD7035,Chennai,Vellore Institute of Technology (VIT),3rd,Cybersecurity,LinkedIn
LD7036,Kolkata,Jadavpur University,2nd,Cybersecurity,LinkedIn
LD7037,Kolkata,University of Calcutta,4th,Biotechnology,Google Form
LD7038,Ahmedabad,Gujarat University,3rd,Robotics,Google Form
LD7039,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Environmental Science,Google Form
LD7040,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Robotics,Instagram
LD7041,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Artificial Intelligence,LinkedIn
LD7042,Delhi,Guru Gobind Singh Indraprastha University,2nd,Robotics,LinkedIn
LD7043,Kolkata,Presidency University,4th,Electric Vehicles,LinkedIn
LD7044,Ahmedabad,Nirma University,4th,Data Science,LinkedIn
LD7045,Jaipur,Rajasthan Technical University,3rd,Cybersecurity,College Collaboration
LD7046,Ahmedabad,Nirma University,2nd,Environmental Science,LinkedIn
LD7047,Ahmedabad,Gujarat University,4th,Biotechnology,Google Form
LD7048,Ahmedabad,Nirma University,3rd,Cybersecurity,Google Form
LD7049,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Artificial Intelligence,LinkedIn
LD7050,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Artificial Intelligence,College Collaboration
LD7051,Bengaluru,Indian Institute of Management Bangalore (IIM-B),4th,Cybersecurity,Google Form
LD7052,Ahmedabad,Nirma University,2nd,Artificial Intelligence,Mass-Mailing
LD7053,Indore,Indian Institute of Management Indore (IIM-I),3rd,Artificial Intelligence,LinkedIn
LD7054,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Business Administration,Instagram
LD7055,Pune,University of Pune (Savitribai Phule Pune University),4th,Environmental Science,LinkedIn
LD7056,Mumbai,University of Mumbai,4th,Artificial Intelligence,College Collaboration
LD7057,Mumbai,Sardar Patel Institute of Technology,3rd,Business Administration,LinkedIn
LD7058,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Cybersecurity,LinkedIn
LD7059,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Data Science,LinkedIn
LD7060,Chennai,Madras Christian College,2nd,Cybersecurity,College Collaboration
LD7061,Mumbai,Sardar Patel Institute of Technology,1st,Artificial Intelligence,LinkedIn
LD7062,Pune,MIT World Peace University,2nd,Robotics,Instagram
LD7063,Ahmedabad,Gujarat University,4th,Robotics,College Collaboration
LD7064,Bengaluru,Indian Institute of Science (IISc),3rd,Biotechnology,LinkedIn
LD7065,Kolkata,University of Calcutta,2nd,Biotechnology,College Collaboration
LD7066,Hyderabad,Indian School of Business (ISB),1st,Electric Vehicles,LinkedIn
LD7067,Jaipur,Rajasthan Technical University,4th,Biotechnology,LinkedIn
LD7068,Delhi,Jamia Millia Islamia,3rd,Electric Vehicles,Mass-Mailing
LD7069,Jaipur,Rajasthan Technical University,4th,Environmental Science,LinkedIn
LD7070,Delhi,Lady Shri Ram College for Women,4th,Cybersecurity,College Collaboration
LD7071,Delhi,Guru Gobind Singh Indraprastha University,2nd,Business Administration,College Collaboration
LD7072,Indore,Indian Institute of Management Indore (IIM-I),2nd,Environmental Science,LinkedIn
LD7073,Bengaluru,RV College of Engineering,2nd,Biotechnology,Google Form
LD7074,Kolkata,Indian Statistical Institute,2nd,Data Science,Mass-Mailing
LD7075,Delhi,Guru Gobind Singh Indraprastha University,3rd,Environmental Science,LinkedIn
LD7076,Hyderabad,University of Hyderabad,3rd,Business Administration,Mass-Mailing
LD7077,Bengaluru,Christ University,3rd,Cybersecurity,Google Form
LD7078,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,Mass-Mailing
LD7079,Chennai,Madras Christian College,1st,Cybersecurity,LinkedIn
LD7080,Chennai,Anna University,4th,Environmental Science,Whatsapp
LD7081,Hyderabad,Indian School of Business (ISB),2nd,Business Administration,LinkedIn
LD7082,Indore,Devi Ahilya Vishwavidyalaya,3rd,Robotics,LinkedIn
LD7083,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Artificial Intelligence,Mass-Mailing
LD7084,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Biotechnology,Mass-Mailing
LD7085,Pune,MIT World Peace University,4th,Environmental Science,Instagram
LD7086,Delhi,Guru Gobind Singh Indraprastha University,4th,Robotics,Whatsapp
LD7087,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Electric Vehicles,College Collaboration
LD7088,Delhi,Delhi Technological University (DTU),2nd,Environmental Science,LinkedIn
LD7089,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Data Science,Instagram
LD7090,Bengaluru,PES University,3rd,Biotechnology,Instagram
LD7091,Ahmedabad,Gujarat University,3rd,Cybersecurity,Google Form
LD7092,Delhi,Jamia Millia Islamia,1st,Robotics,College Collaboration
LD7093,Delhi,University of Delhi,3rd,Environmental Science,College Collaboration
